#,Perso,serie,classe,URL image,Épique,Rare,Non-commun,Commun
,Pinkie Pie,mlp,regular,https://cdn.discordapp.com/attachments/820978677172928574/874745602297196554/WST_mlp-pinkypie.png,le Chariot de Bienvenue à Ponyville,des ballons,un canon à confetti,des cupcakes
,Rainbow Dash,mlp,regular,https://cdn.discordapp.com/attachments/820978677172928574/874745604000088094/WST_mlp-rainbowdash.png,un arc-en-ciel supersonique,une place chez les Wonderbolts,un trophée,un autographe
,Rarity,mlp,regular,https://cdn.discordapp.com/attachments/820978677172928574/874745607917551726/WST_mlp-rarity.png,un rubis en forme de coeur,une robe de soirée,un chapeau de luxe,une écharpe
,Twilight,mlp,regular,https://cdn.discordapp.com/attachments/820978677172928574/874745612690661426/WST_mlp-twilight.png,les Éléments d'Harmonie,la couronne de princesse,un livre,une plume et de l'encre
,Blake Belladona,rwby,regular,https://cdn.discordapp.com/attachments/820978677172928574/874728432183935107/WST_rwby-blake.png,Gambol Shroud,un clone d'ombre,un livre romantique,un sourire mystérieux
,Ruby Rose,rwby,regular,https://cdn.discordapp.com/attachments/820978677172928574/874728436613124136/WST_rwby-ruby.png,Crescent Rose,un pétale de rose,des cookies,un sourire innocent
,Weiss Schnee,rwby,regular,https://cdn.discordapp.com/attachments/820978677172928574/874728439003906068/WST_rwby-weiss.png,Myrtenaster,un chevalier de glace,un dépliant explicatif de la S.D.C.,un sourire condescendant
,Yang Xiao Long,rwby,regular,https://cdn.discordapp.com/attachments/820978677172928574/874728444146122782/WST_rwby-yang.png,Ember Celica,une onde de choc enflammée,des lunettes de soleil type aviator,un sourire cabotin
,Adora,spop,regular,https://cdn.discordapp.com/attachments/820978677172928574/874747522713788496/WST_spop-adora.png,l'épée de protection,un tour avec Swiftwing,une veste rouge avec un grand col beige,une question
,Bow,spop,regular,https://cdn.discordapp.com/attachments/820978677172928574/874741968167637052/WST_spop-bow.png,son arc et un assortiment de flèches faites maison,son tracker de technologie des fondateurs,un crop top avec les coutures dorées,un compliment
,Catra,spop,regular,https://cdn.discordapp.com/attachments/820978677172928574/874741969660813322/WST_spop-catra.png,une rédemption un peu trop tardive,un tour sur le dos de Melog,un badge de capitaine de la Horde,un sarcasme
,Glimmer,spop,regular,https://cdn.discordapp.com/attachments/820978677172928574/874741972978516018/WST_spop-glimmer.png,le sceptre de Brightmoon,une téléportation où tu veux,une cape scintillante,un scintillement
,Marco,star,regular,https://cdn.discordapp.com/attachments/820978677172928574/874733557959000125/WST_star-marco.png,sa ceinture rouge de karaté,des ciseaux dimensionnels,des nachos qu'il a fait lui même,un sweat à capuche rouge
,Star,star,regular,https://cdn.discordapp.com/attachments/820978677172928574/874733560270049310/WST_star-star.png,sa baguette : tu rejoins la Royauté de Mewni,un miroir de communication,un chiot-laser,un serre-tête rouge avec des cornes
,Amethyst,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384472672469032/WST_SU-Amethyst.png,son burrito,une part de pizza,des restes de frites,des détritus
,Bismuth,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384476996796436/WST_SU-Bismuth.png,un rendez-vous à la patinoire,un objet forgé spécialement par elle,une tape sur l'épaule,un jeu de mot sur son business
,Connie,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384479580459088/WST_SU-Connie.png,son épée forgée par Bismuth,un papillon,un manuel d'étude,un jam
,Garnet,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384482252251146/WST_SU-Garnet.png,une apparition dans un crossover,un discours passionné sur les fusions,une vision du futur,une histoire
,Greg,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384484798201897/WST_SU-Greg.png,son van Mr. Universe (laisse-le entrer dans ton coeur),une chanson père-fils,un bon pour laver ta voiture,de la crème solaire
,Lapis-Lazuli,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384487813902356/WST_SU-LapisLazuli.png,la grange de Lapis et Peridot,VRAIMENT beaucoup d'eau,beaucoup d'eau,de l'eau
,Lars,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384491857215569/WST_SU-LArs.png,sa cape Lars of the Stars,une part de gâteau fait-maison,une place pour un match de catch,un donut
,Pearl,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384495032291378/WST_SU-Pearl.png,son numéro de téléphone,un cours d'escrime,un haut de forme,de la bande adhésive
,Peridot,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384497565646889/WST_SU-Peridot.png,ses amplificateurs de membres,des connaissances sur la Garderie,un meep morp,du vocabulaire du Monde des Gemmes
,Steven,su,regular,https://cdn.discordapp.com/attachments/820978677172928574/874384500342288384/WST_SU-Steven.png,un Cookie Chaton - Le Meilleur Ami de ton bidon !,un sac à dos Burger,une chanson,une figurine
,Cassandra,tangled,regular,https://cdn.discordapp.com/attachments/820978677172928574/874757556785004554/WST_tangled-cass.png,une grande épée en pic de roche noire,Owl,une épée,une expression neutre
,Eugène,tangled,regular,https://cdn.discordapp.com/attachments/820978677172928574/874757557502222346/WST_tangled-eugene.png,son uniforme de Capitaine de la Garde Royale de Corona,Maximus,un avis de recherche à son effigie,un clin d'oeil
,Raiponce,tangled,regular,https://cdn.discordapp.com/attachments/820978677172928574/874757560782188544/WST_tangled-rapunzel.png,la couronne de Corona,Pascal,une poêle,un sourire radieux et généreux
,Amaya,tdp,regular,https://cdn.discordapp.com/attachments/820978677172928574/874400719069933598/WST_TDP-Amaya.png,son grand bouclier,un cours de langue des signes katolienne,un cours d'escrime,un sourire fier
,Callum,tdp,regular,https://cdn.discordapp.com/attachments/820978677172928574/874399677267722320/WST_TDP-Callum.png,la clef d'Aaravos,une pierre primale du ciel,un glyphe de Fulminis,son écharpe rouge
,Ezran,tdp,regular,https://cdn.discordapp.com/attachments/820978677172928574/874399682263134208/WST_TDP-Ezran.png,la couronne de Katolis,un calin de Zym,un calin de Bait,une tartelette à la gelée
,Rayla,tdp,regular,https://cdn.discordapp.com/attachments/820978677172928574/874399685996068894/WST_TDP-Raylla.png,ses lames jumelles,un uniforme de la Garde du Dragon,une imitation d'humain très convaincante (ou pas),son amulette d'opale de Lune
,Asami,tlokcf,regular,https://cdn.discordapp.com/attachments/820978677172928574/874779752349696040/WST_tlok-asami.png,une leçon privée de conduite (mais Korra est sur le siège arrière ?),un trajet en scooter,un sponsor,un autographe sur un papier à en-tête de Future Industries
,Bolin,tlokcf,regular,https://cdn.discordapp.com/attachments/820978677172928574/874779755549966466/WST_tlok-bolin.png,une séance photo avec Pabu,un trajet sur le Zhu Li III (prêté par Varrick),un disque de pro-bending,un autographe de Nuktuk - le héros du Sud
,Korra,tlokcf,regular,https://cdn.discordapp.com/attachments/820978677172928574/874779757269622834/WST_tlok-korra.png,une visite privée du monde des esprits (mais Asami est là aussi ?),un trajet sur Naga,une tenue de pro-bending bleue,un autographe de l'Avatar
,Mako,tlokcf,regular,https://cdn.discordapp.com/attachments/820978677172928574/874779760096583740/WST_tlok-mako.png,ses services de garde du corps,un trajet en satomobile de la police,son brassard de capitaine,un autographe du capitaine des Fire Ferrets
,Amity,toh,regular,https://cdn.discordapp.com/attachments/820978677172928574/874332764021854237/WST_TOH-Amity.png,de la teinture couleur barbapapa,la lecture d'un livre (en faisant les voix),un rougissement,une prestation d'abomination
,Eda,toh,regular,https://cdn.discordapp.com/attachments/820978677172928574/873594864544149564/WST_TOH-Eda.png,ta propre cape en laine de sorcière,un t-shirt du Bad Girl Coven,un poster de recherche dédicacé,un coup de main (littéral : elle te donne sa main)
,Gus,toh,regular,https://cdn.discordapp.com/attachments/820978677172928574/874332733734780948/WST_TOH-Gus.png,la couronne de président du club d'appréciation des humains,son interview exclusive avec Hooty,un tronc-baune pour écouter le bruit de l'océan,une illusion
,Hooty,toh,regular,https://cdn.discordapp.com/attachments/820978677172928574/874332737023119420/WST_TOH-Hooty.png,un HOOT-HOOT !,un surnom : vous êtes son/sa meilleur.e ami.e,un coup de main pour ameliorer ta vie,une apparition BEAUCOUP TROP inopinée
,King,toh,regular,https://cdn.discordapp.com/attachments/820978677172928574/874332743620784308/WST_TOH-King.png,sa couronne,un cours de démonologie,un cri mignon,un ordre
,Luz,toh,regular,https://cdn.discordapp.com/attachments/820978677172928574/874332749618626560/WST_TOH-Luz.png,un dessin d'Amity,une fanfiction sur Azura,un glyphe de lumière,un lancer de confettis dramatique
,Willow,toh,regular,https://cdn.discordapp.com/attachments/820978677172928574/874332755398369350/WST_TOH-Willow.png,une invitation pour L'Invocation au Clair de Lune,sa barrette,une photo d'enfance,une fleur
,Adamaï,wakfu,regular,https://cdn.discordapp.com/attachments/820978677172928574/874711267154214952/WST_wakfu-Adamai.png,l'oeuf de Grougaloragran,une leçon de Grougaloragran,une écaille de dragon,une énigme qui rime
,Amalia,wakfu,regular,https://cdn.discordapp.com/attachments/820978677172928574/874711300977074206/WST_wakfu-Amalia.png,la couronne Sadida,une poupée Sadida,un sac Sadida à la mode de Bonta,une rose démoniaque
,Evangeline,wakfu,regular,https://cdn.discordapp.com/attachments/820978677172928574/874711306849120296/WST_wakfu-Eva.png,son arc à invocations,une flèche explosive,une flèche lumineuse,une flèche normale
,Ruel,wakfu,regular,https://cdn.discordapp.com/attachments/820978677172928574/874711309587992596/WST_wakfu-Ruel.png,un Kama,une réplique de son Havre-sac (senteur garantie similaire à l'originale),un ballon de Boufbowl,une pelle
,Tristepin,wakfu,regular,https://cdn.discordapp.com/attachments/820978677172928574/874711306811359282/WST_wakfu-Pinpin.png,"Rubilax, son shushu",les pouvoirs du dieu Iop,un plan d'action avec 1 étape : on fonce dans le tas,un pain (le pain de pinpin)
,Yugo,wakfu,regular,https://cdn.discordapp.com/attachments/820978677172928574/874711312905674773/WST_wakfu-Yugo.png,l'Éliacube,un bonnet Eliatrope,Tofuyugo,un oeuf de Tofu
